LocID,Location,PopTotal,PopDensity
4,Afghanistan,38041.757,58.269
8,Albania,2880.913,105.143
12,Algeria,43053.054,18.076
16,American Samoa,55.312,276.56
20,Andorra,77.146,164.14
24,Angola,31825.299,25.528
28,Antigua and Barbuda,97.115,220.716
31,Azerbaijan,10047.719,121.558
32,Argentina,44780.675,16.363
36,Australia,25203.2,3.281
40,Austria,8955.108,108.667
44,Bahamas,389.486,38.91
48,Bahrain,1641.164,2159.426
50,Bangladesh,163046.173,1252.563
51,Armenia,2957.728,103.889
52,Barbados,287.021,667.491
56,Belgium,11539.326,381.087
60,Bermuda,62.508,1250.16
64,Bhutan,763.094,20.02
68,Bolivia (Plurinational State of),11513.102,10.628
70,Bosnia and Herzegovina,3300.998,64.725
72,Botswana,2303.703,4.065
76,Brazil,211049.519,25.251
84,Belize,390.351,17.113
90,Solomon Islands,669.821,23.931
92,British Virgin Islands,30.033,200.22
96,Brunei Darussalam,433.296,82.219
100,Bulgaria,7000.117,64.482
104,Myanmar,54045.422,82.728
108,Burundi,11530.577,449.01
112,Belarus,9452.409,46.584
116,Cambodia,16486.542,93.398
120,Cameroon,25876.387,54.741
124,Canada,37411.038,4.114
132,Cabo Verde,549.936,136.461
136,Cayman Islands,64.948,270.617
140,Central African Republic,4745.179,7.617
144,Sri Lanka,21323.734,340.037
148,Chad,15946.882,12.664
152,Chile,18952.035,25.489
156,China,1433783.692,152.722
158,"China, Taiwan Province of China",23773.881,671.389
170,Colombia,50339.443,45.371
174,Comoros,850.891,457.222
175,Mayotte,266.153,709.741
178,Congo,5380.504,15.756
180,Democratic Republic of the Congo,86790.568,38.283
184,Cook Islands,17.547,73.112
188,Costa Rica,5047.561,98.855
191,Croatia,4130.299,73.808
192,Cuba,11333.484,106.478
196,Cyprus,1198.574,129.716
203,Czechia,10689.213,138.39
204,Benin,11801.151,104.657
208,Denmark,5771.877,136.033
212,Dominica,71.808,95.744
214,Dominican Republic,10738.957,222.247
218,Ecuador,17373.657,69.954
222,El Salvador,6453.55,311.465
226,Equatorial Guinea,1355.982,48.342
231,Ethiopia,112078.727,112.079
232,Eritrea,3497.117,34.625
233,Estonia,1325.649,31.273
234,Faroe Islands,48.677,34.869
238,Falkland Islands (Malvinas),3.372,0.277
242,Fiji,889.955,48.711
246,Finland,5532.159,18.204
250,France,65129.731,118.946
254,French Guiana,290.823,3.538
258,French Polynesia,279.285,76.307
262,Djibouti,973.557,42
266,Gabon,2172.578,8.432
268,Georgia,3996.762,57.516
270,Gambia,2347.696,231.986
275,State of Palestine,4981.422,827.479
276,Germany,83517.046,239.606
288,Ghana,30417.858,133.681
292,Gibraltar,33.706,3370.6
296,Kiribati,117.608,145.195
300,Greece,10473.452,81.253
304,Greenland,56.66,0.138
308,Grenada,112.002,329.418
312,Guadeloupe,400.048,245.73
316,Guam,167.295,309.806
320,Guatemala,17581.476,164.068
324,Guinea,12771.246,51.975
328,Guyana,782.775,3.977
332,Haiti,11263.079,408.675
336,Holy See,0.815,1852.273
340,Honduras,9746.115,87.104
344,"China, Hong Kong SAR",7436.157,7082.054
348,Hungary,9684.68,106.978
352,Iceland,339.037,3.382
356,India,1366417.756,459.58
360,Indonesia,270625.567,149.387
364,Iran,82913.893,50.913
368,Iraq,39309.789,90.509
372,Ireland,4882.498,70.874
376,Israel,8519.373,393.686
380,Italy,60550.092,205.855
384,Cote d'Ivoire,25716.554,80.87
388,Jamaica,2948.277,272.232
392,Japan,126860.299,347.987
398,Kazakhstan,18551.428,6.872
400,Jordan,10101.697,113.783
404,Kenya,52573.967,92.374
408,Dem. People's Republic of Korea,25666.158,213.156
410,Republic of Korea,51225.321,526.847
414,Kuwait,4207.077,236.087
